Draw,Date,win1,win2,win3,win4,win5,win6,addno,fromlast,same_as_day,odd,even, 1-10, 11-20, 21-30, 31-40, 41-50,win1_no,win1_price,win2_no,win2_price,win3_no,win3_price,win4_no,win4_price,win5_no,win5_price,win6_no,win6_price,win7_no,win7_price
3359,5/4/18,3,5,21,30,32,40,34,"3,30",5,3,3,2,0,2,2,0,0,0,1,303815,109,1917,265,430,6922,50,8091,25,126279,10
3358,2/4/18,3,12,30,39,43,48,20,,,3,3,1,1,1,1,2,0,0,5,48674,383,437,219,417,4486,50,6341,25,85277,10
3357,29/3/18,11,15,17,21,27,33,10,27,,6,0,0,3,2,1,0,3,855036,1,297254,155,1319,381,293,7809,50,11595,25,130768,10
3356,26/3/18,6,13,14,27,32,36,29,"6,13,27",,2,4,1,2,1,2,0,0,0,1,242769,86,1941,252,362,5373,50,6657,25,92985,10
3355,22/3/18,5,6,13,21,27,47,42,,,5,1,2,1,2,0,1,1,1116951,2,117574,88,1838,236,374,5549,50,6253,25,101986,10
3354,19/3/18,3,18,31,39,43,46,29,,,4,2,1,1,0,2,2,1,2826396,1,595031,147,1618,267,486,7067,50,8957,25,126570,10
3353,15/3/18,9,16,23,25,34,40,47,"9,16",,3,3,1,1,2,2,0,0,0,0,0,70,2448,169,553,5151,50,5274,25,96525,10
3352,12/3/18,9,12,15,16,29,44,2,,12,3,3,1,3,1,0,1,1,5055761,10,50792,267,1308,761,251,13106,50,20192,25,223376,10
3351,8/3/18,2,10,14,24,28,40,21,,,0,6,2,1,2,1,0,0,0,1,311148,137,1562,318,367,7105,50,9568,25,128606,10
3350,5/3/18,6,15,16,30,32,39,19,,,2,4,1,2,1,2,0,0,0,4,61327,78,2163,284,324,4561,50,7054,25,90125,10
3349,2/3/18,24,28,31,37,40,49,29,40,,3,3,0,0,2,3,1,2,6013609,26,80545,770,1870,2201,357,39497,50,56256,25,731669,10
3348,26/2/18,4,9,13,15,40,44,48,"4,13,15",,3,3,2,2,0,1,1,2,819090,2,172440,141,1682,307,422,7759,50,8665,25,139933,10
3347,22/2/18,4,12,13,15,35,46,21,,,3,3,1,3,0,1,1,1,1428828,4,75202,151,1370,338,334,5605,50,8566,25,114253,10
3346,19/2/18,10,21,29,34,37,43,28,,,4,2,1,0,2,2,1,1,5460952,4,132875,154,2373,512,390,10559,50,14408,25,185354,10
3345,15/2/18,16,18,30,31,36,41,1,41,,2,4,0,2,1,2,1,0,0,5,73436,119,2122,380,363,7057,50,10371,25,132664,10
3344,12/2/18,12,14,19,23,37,41,3,23,12,4,2,0,3,1,1,1,0,0,1,250999,113,1528,238,396,5200,50,7849,25,96508,10
3343,9/2/18,8,15,16,23,40,49,18,40,,3,3,1,2,1,1,1,2,3181107,7,150809,455,1596,1138,348,23660,50,32663,25,410512,10
3342,5/2/18,25,33,38,40,42,48,27,,,2,4,0,0,1,3,2,0,0,1,281651,82,2362,200,529,4658,50,6935,25,89874,10
3341,1/2/18,4,15,20,22,29,32,8,32,,2,4,1,2,2,1,0,2,588205,6,41278,90,1892,322,289,4730,50,9960,25,92257,10
3340,29/1/18,7,14,25,32,44,48,19,25,,2,4,1,1,1,1,2,2,613137,2,129082,94,1889,216,449,4534,50,6449,25,85242,10
3339,25/1/18,1,15,23,25,34,47,2,"1,15",25,5,1,1,1,2,1,1,1,2683719,1,314602,118,1833,300,394,5917,50,9117,25,111157,10
3338,22/1/18,1,2,15,29,32,49,11,2,,4,2,2,1,1,1,1,0,0,3,83465,82,2100,255,369,5069,50,8143,25,90152,10
3337,18/1/18,2,6,12,17,26,40,44,"2,6",,1,5,2,2,1,1,0,1,8614827,7,112719,418,1298,843,351,22101,50,21750,25,357704,10
3336,15/1/18,1,2,6,28,29,49,17,49,,3,3,3,0,2,0,1,0,0,5,92702,208,1533,533,327,11359,50,15124,25,200914,10
3335,11/1/18,22,24,25,40,45,49,3,45,,3,3,0,0,3,1,2,0,0,2,150781,88,2356,236,480,4990,50,6882,25,95812,10
3334,8/1/18,6,10,18,36,44,45,46,,,1,5,2,1,0,1,2,0,0,1,259547,106,1684,248,393,5782,50,6641,25,103586,10
3333,5/1/18,3,4,13,19,23,47,5,3,,5,1,2,2,1,0,1,0,0,19,729761,642,1698,2053,290,34408,50,55156,25,627469,10
3332,1/1/18,3,9,16,34,45,46,49,"3,16",,3,3,2,1,0,1,2,0,0,4,115899,129,2471,397,438,8304,50,11976,25,164921,10
3331,28/12/17,1,3,5,16,27,40,26,,,4,2,3,1,1,1,0,0,0,6,48799,123,1637,301,365,7191,50,8904,25,132961,10
3330,25/12/17,6,7,14,17,19,29,46,,,4,2,2,3,1,0,0,0,0,2,121704,177,946,245,373,8479,50,6250,25,126435,10
3329,21/12/17,1,2,26,27,35,43,23,"2,35",,4,2,2,0,2,1,1,1,1084370,1,228289,78,2013,173,495,3862,50,5476,25,75040,10
3328,18/12/17,2,6,10,19,31,35,34,,,3,3,3,1,0,2,0,2,572571,1,241083,100,1658,237,382,6800,50,6384,25,115473,10
3327,14/12/17,1,9,13,33,41,48,21,,,5,1,2,1,0,1,2,1,4390479,3,132600,139,1968,358,417,7629,50,11170,25,151797,10
3326,11/12/17,5,12,37,39,42,43,15,37,,4,2,1,1,0,2,2,0,0,1,305318,116,1810,269,426,5795,50,8037,25,106936,10
3325,7/12/17,9,10,25,37,45,46,40,,,4,2,2,0,1,1,2,0,0,1,221197,76,2001,144,577,4814,50,5067,25,88549,10
3324,4/12/17,4,5,19,38,39,40,26,38,4,3,3,2,1,0,3,0,1,7979860,13,57092,305,1673,770,362,15631,50,21382,25,292902,10
3323,30/11/17,17,22,29,36,38,47,46,,,3,3,0,1,2,2,1,0,0,6,67613,157,1777,361,422,7798,50,10161,25,145032,10
3322,27/11/17,7,8,23,30,42,48,38,,,2,4,2,0,2,0,2,0,0,2,152757,119,1766,327,351,6506,50,8966,25,122930,10
3321,23/11/17,11,14,41,46,47,49,48,11,,4,2,0,2,0,0,4,0,0,3,75533,71,2195,383,222,4072,50,7280,25,72678,10
3320,20/11/17,9,11,13,18,20,34,27,"11,13,34",20,3,3,1,4,0,1,0,1,1145119,3,80360,144,1151,461,197,8025,50,10677,25,125590,10
3319,16/11/17,11,13,16,27,34,48,30,,16,3,3,0,3,1,1,1,1,4699342,4,186186,167,1734,456,347,10281,50,12548,25,176876,10
3318,13/11/17,3,19,21,35,37,44,26,44,,5,1,1,1,1,2,1,0,0,0,0,116,1918,242,502,5836,50,7724,25,109912,10
3317,9/11/17,22,31,33,41,44,47,24,,,4,2,0,0,1,2,3,0,0,1,244593,97,1734,195,471,4494,50,5707,25,79810,10
3316,6/11/17,2,8,11,15,19,32,47,32,,3,3,2,3,0,1,0,0,0,8,1105236,488,1037,769,359,22074,50,19063,25,363439,10
