Draw	Date	Winning Number 1	2	3	4	5	6	Additional Number 	From Last	Same As Day	Odd	Even	 1-10	 11-20	 21-30	 31-40	 41-50	Division 1 Winners	Division 1 Prize	Division 2 Winners	Division 2 Prize	Division 3 Winners	Division 3 Prize	Division 4 Winners	Division 4 Prize	Division 5 Winners	Division 5 Prize	Division 6 Winners	Division 6 Prize	Division 7 Winners	Division 7 Prize
3359	2018-04-05	3	5	21	30	32	40	34	3,30	5	3	3	2	0	2	2	0	0.00	0	1.00	303815	109.00	1917	265.00	430	6922.00	50	8091.00	25	126279.00	10
3358	2018-04-02	3	12	30	39	43	48	20			3	3	1	1	1	1	2	0.00	0	5.00	48674	383.00	437	219.00	417	4486.00	50	6341.00	25	85277.00	10
3357	2018-03-29	11	15	17	21	27	33	10	27		6	0	0	3	2	1	0	3.00	855036	1.00	297254	155.00	1319	381.00	293	7809.00	50	11595.00	25	130768.00	10
3356	2018-03-26	6	13	14	27	32	36	29	6,13,27		2	4	1	2	1	2	0	0.00	0	1.00	242769	86.00	1941	252.00	362	5373.00	50	6657.00	25	92985.00	10
3355	2018-03-22	5	6	13	21	27	47	42			5	1	2	1	2	0	1	1.00	1116951	2.00	117574	88.00	1838	236.00	374	5549.00	50	6253.00	25	101986.00	10
3354	2018-03-19	3	18	31	39	43	46	29			4	2	1	1	0	2	2	1.00	2826396	1.00	595031	147.00	1618	267.00	486	7067.00	50	8957.00	25	126570.00	10
3353	2018-03-15	9	16	23	25	34	40	47	9,16		3	3	1	1	2	2	0	0.00	0	0.00	0	70.00	2448	169.00	553	5151.00	50	5274.00	25	96525.00	10
3352	2018-03-12	9	12	15	16	29	44	2		12	3	3	1	3	1	0	1	1.00	5055761	10.00	50792	267.00	1308	761.00	251	13106.00	50	20192.00	25	223376.00	10
3351	2018-03-08	2	10	14	24	28	40	21			0	6	2	1	2	1	0	0.00	0	1.00	311148	137.00	1562	318.00	367	7105.00	50	9568.00	25	128606.00	10
3350	2018-03-05	6	15	16	30	32	39	19			2	4	1	2	1	2	0	0.00	0	4.00	61327	78.00	2163	284.00	324	4561.00	50	7054.00	25	90125.00	10
3349	2018-03-02	24	28	31	37	40	49	29	40		3	3	0	0	2	3	1	2.00	6013609	26.00	80545	770.00	1870	2201.00	357	39497.00	50	56256.00	25	731669.00	10
3348	2018-02-26	4	9	13	15	40	44	48	4,13,15		3	3	2	2	0	1	1	2.00	819090	2.00	172440	141.00	1682	307.00	422	7759.00	50	8665.00	25	139933.00	10
3347	2018-02-22	4	12	13	15	35	46	21			3	3	1	3	0	1	1	1.00	1428828	4.00	75202	151.00	1370	338.00	334	5605.00	50	8566.00	25	114253.00	10
3346	2018-02-19	10	21	29	34	37	43	28			4	2	1	0	2	2	1	1.00	5460952	4.00	132875	154.00	2373	512.00	390	10559.00	50	14408.00	25	185354.00	10
3345	2018-02-15	16	18	30	31	36	41	1	41		2	4	0	2	1	2	1	0.00	0	5.00	73436	119.00	2122	380.00	363	7057.00	50	10371.00	25	132664.00	10
3344	2018-02-12	12	14	19	23	37	41	3	23	12	4	2	0	3	1	1	1	0.00	0	1.00	250999	113.00	1528	238.00	396	5200.00	50	7849.00	25	96508.00	10
3343	2018-02-09	8	15	16	23	40	49	18	40		3	3	1	2	1	1	1	2.00	3181107	7.00	150809	455.00	1596	1138.00	348	23660.00	50	32663.00	25	410512.00	10
3342	2018-02-05	25	33	38	40	42	48	27			2	4	0	0	1	3	2	0.00	0	1.00	281651	82.00	2362	200.00	529	4658.00	50	6935.00	25	89874.00	10
3341	2018-02-01	4	15	20	22	29	32	8	32		2	4	1	2	2	1	0	2.00	588205	6.00	41278	90.00	1892	322.00	289	4730.00	50	9960.00	25	92257.00	10
3340	2018-01-29	7	14	25	32	44	48	19	25		2	4	1	1	1	1	2	2.00	613137	2.00	129082	94.00	1889	216.00	449	4534.00	50	6449.00	25	85242.00	10
3339	2018-01-25	1	15	23	25	34	47	2	1,15	25	5	1	1	1	2	1	1	1.00	2683719	1.00	314602	118.00	1833	300.00	394	5917.00	50	9117.00	25	111157.00	10
3338	2018-01-22	1	2	15	29	32	49	11	2		4	2	2	1	1	1	1	0.00	0	3.00	83465	82.00	2100	255.00	369	5069.00	50	8143.00	25	90152.00	10
3337	2018-01-18	2	6	12	17	26	40	44	2,6		1	5	2	2	1	1	0	1.00	8614827	7.00	112719	418.00	1298	843.00	351	22101.00	50	21750.00	25	357704.00	10
3336	2018-01-15	1	2	6	28	29	49	17	49		3	3	3	0	2	0	1	0.00	0	5.00	92702	208.00	1533	533.00	327	11359.00	50	15124.00	25	200914.00	10
3335	2018-01-11	22	24	25	40	45	49	3	45		3	3	0	0	3	1	2	0.00	0	2.00	150781	88.00	2356	236.00	480	4990.00	50	6882.00	25	95812.00	10
3334	2018-01-08	6	10	18	36	44	45	46			1	5	2	1	0	1	2	0.00	0	1.00	259547	106.00	1684	248.00	393	5782.00	50	6641.00	25	103586.00	10
3333	2018-01-05	3	4	13	19	23	47	5	3		5	1	2	2	1	0	1	0.00	0	19.00	729761	642.00	1698	2053.00	290	34408.00	50	55156.00	25	627469.00	10
3332	2018-01-01	3	9	16	34	45	46	49	3,16		3	3	2	1	0	1	2	0.00	0	4.00	115899	129.00	2471	397.00	438	8304.00	50	11976.00	25	164921.00	10
3331	2017-12-28	1	3	5	16	27	40	26			4	2	3	1	1	1	0	0.00	0	6.00	48799	123.00	1637	301.00	365	7191.00	50	8904.00	25	132961.00	10
3330	2017-12-25	6	7	14	17	19	29	46			4	2	2	3	1	0	0	0.00	0	2.00	121704	177.00	946	245.00	373	8479.00	50	6250.00	25	126435.00	10
3329	2017-12-21	1	2	26	27	35	43	23	2,35		4	2	2	0	2	1	1	1.00	1084370	1.00	228289	78.00	2013	173.00	495	3862.00	50	5476.00	25	75040.00	10
3328	2017-12-18	2	6	10	19	31	35	34			3	3	3	1	0	2	0	2.00	572571	1.00	241083	100.00	1658	237.00	382	6800.00	50	6384.00	25	115473.00	10
3327	2017-12-14	1	9	13	33	41	48	21			5	1	2	1	0	1	2	1.00	4390479	3.00	132600	139.00	1968	358.00	417	7629.00	50	11170.00	25	151797.00	10
3326	2017-12-11	5	12	37	39	42	43	15	37		4	2	1	1	0	2	2	0.00	0	1.00	305318	116.00	1810	269.00	426	5795.00	50	8037.00	25	106936.00	10
3325	2017-12-07	9	10	25	37	45	46	40			4	2	2	0	1	1	2	0.00	0	1.00	221197	76.00	2001	144.00	577	4814.00	50	5067.00	25	88549.00	10
3324	2017-12-04	4	5	19	38	39	40	26	38	4	3	3	2	1	0	3	0	1.00	7979860	13.00	57092	305.00	1673	770.00	362	15631.00	50	21382.00	25	292902.00	10
3323	2017-11-30	17	22	29	36	38	47	46			3	3	0	1	2	2	1	0.00	0	6.00	67613	157.00	1777	361.00	422	7798.00	50	10161.00	25	145032.00	10
